Sample	ENA_Project	ENA_Sample	ENA_Experiment	ENA_Run	Platform	Amplicon_scheme
s12368	PRJEB51850	SAMEA13607194	ERX8902458	ERR9362088	Illumina	artic-v3
s79306	PRJEB51850	SAMEA13607204	ERX8902477	ERR9362089	Nanopore	artic-v3
s79306	PRJEB51850	SAMEA13607204	ERX8902478	ERR9362090	Illumina	artic-v3
s12142	PRJEB51850	SAMEA13607192	ERX8902453	ERR9362091	Nanopore	artic-v3
s12142	PRJEB51850	SAMEA13607192	ERX8902454	ERR9362092	Illumina	artic-v3
s82718	PRJEB51850	SAMEA13607205	ERX8902479	ERR9362093	Nanopore	artic-v3
s82718	PRJEB51850	SAMEA13607205	ERX8902480	ERR9362094	Illumina	artic-v3
s32219	PRJEB51850	SAMEA13607197	ERX8902463	ERR9362095	Nanopore	artic-v3
s32219	PRJEB51850	SAMEA13607197	ERX8902464	ERR9362096	Illumina	artic-v3
s12220	PRJEB51850	SAMEA13607193	ERX8902455	ERR9362097	Nanopore	artic-v3
s12220	PRJEB51850	SAMEA13607193	ERX8902456	ERR9362098	Illumina	artic-v3
s71898	PRJEB51850	SAMEA13607203	ERX8902475	ERR9362099	Nanopore	artic-v3
s71898	PRJEB51850	SAMEA13607203	ERX8902476	ERR9362100	Illumina	artic-v3
s16621	PRJEB51850	SAMEA13607195	ERX8902459	ERR9362101	Nanopore	artic-v3
s16621	PRJEB51850	SAMEA13607195	ERX8902460	ERR9362102	Illumina	artic-v3
s11511	PRJEB51850	SAMEA13607191	ERX8902451	ERR9362103	Nanopore	artic-v3
s11511	PRJEB51850	SAMEA13607191	ERX8902452	ERR9362104	Illumina	artic-v3
s53667	PRJEB51850	SAMEA13607200	ERX8902469	ERR9362105	Nanopore	artic-v3
s53667	PRJEB51850	SAMEA13607200	ERX8902470	ERR9362106	Illumina	artic-v3
s52247	PRJEB51850	SAMEA13607199	ERX8902467	ERR9362107	Nanopore	artic-v3
s52247	PRJEB51850	SAMEA13607199	ERX8902468	ERR9362108	Illumina	artic-v3
s35910	PRJEB51850	SAMEA13607198	ERX8902465	ERR9362109	Nanopore	artic-v3
s35910	PRJEB51850	SAMEA13607198	ERX8902466	ERR9362110	Illumina	artic-v3
